_id/$oid,_id_thi_sinh/$oid,ten_nganh,__v
6166fbc343f8917a04cd52d2,6166fbc343f8917a04cd52d1,Ngôn ngữ Anh,0
6166fc0243f8917a04cd52d6,6166fc0243f8917a04cd52d5,Kế toán,0
6166fc4643f8917a04cd52da,6166fc4643f8917a04cd52d9,Kế toán,0
6166fc8943f8917a04cd52de,6166fc8943f8917a04cd52dd,Công nghệ kỹ thuật xây dựng,0
6166fcdd43f8917a04cd52e2,6166fcdd43f8917a04cd52e1,Kế toán,0
6166fd1943f8917a04cd52e6,6166fd1943f8917a04cd52e5,Quản trị kinh doanh,0
6166fd4f43f8917a04cd52ea,6166fd4f43f8917a04cd52e9,Kế toán,0
6166fd9243f8917a04cd52ee,6166fd9243f8917a04cd52ed,Công nghệ kỹ thuật xây dựng,0
6166fdce43f8917a04cd52f2,6166fdce43f8917a04cd52f1,Dịch vụ pháp lý,0
6166fe0443f8917a04cd52f6,6166fe0443f8917a04cd52f5,Ngôn ngữ Anh,0
6166fe3a43f8917a04cd52fa,6166fe3a43f8917a04cd52f9,Tiếng Anh,0
6166fe7d43f8917a04cd52fe,6166fe7d43f8917a04cd52fd,Tiếng Anh,0
6166feb943f8917a04cd5302,6166feb943f8917a04cd5301,Tiếng Anh,0
6166ff1e43f8917a04cd5306,6166ff1e43f8917a04cd5305,Tiếng Anh,0
6166ff5543f8917a04cd530a,6166ff5543f8917a04cd5309,Tiếng Anh,0
6166ff8d43f8917a04cd530e,6166ff8d43f8917a04cd530d,Ngôn ngữ Anh,0
6166ffc443f8917a04cd5312,6166ffc443f8917a04cd5311,Tiếng Anh,0
6166fff743f8917a04cd5316,6166fff743f8917a04cd5315,Tin học ứng dụng,0
6167002f43f8917a04cd531a,6167002f43f8917a04cd5319,Dịch vụ pháp lý,0
6167006943f8917a04cd531e,6167006943f8917a04cd531d,Quản trị kinh doanh,0
616700a443f8917a04cd5322,616700a443f8917a04cd5321,Tiếng Anh,0
616700e443f8917a04cd5326,616700e443f8917a04cd5325,Ngôn ngữ Anh,0
616701a143f8917a04cd532a,616701a143f8917a04cd5329,Ngôn ngữ Anh,0
616701dd43f8917a04cd532e,616701dd43f8917a04cd532d,Quản trị dịch vụ du lịch và lữ hành,0
6167021a43f8917a04cd5332,6167021a43f8917a04cd5331,Dịch vụ pháp lý,0
6167025043f8917a04cd5336,6167025043f8917a04cd5335,Ngôn ngữ Anh,0
6167028943f8917a04cd533a,6167028943f8917a04cd5339,Kỹ thuật xây dựng,0
616702bc43f8917a04cd533e,616702bc43f8917a04cd533d,Dịch vụ thú y,0
616702f743f8917a04cd5342,616702f743f8917a04cd5341,Tiếng Anh,0
6167032b43f8917a04cd5346,6167032b43f8917a04cd5345,Tiếng Anh,0
6167036643f8917a04cd534a,6167036643f8917a04cd5349,Tiếng Anh,0
616703a043f8917a04cd534e,616703a043f8917a04cd534d,Ngôn ngữ Anh,0
616703df43f8917a04cd5352,616703df43f8917a04cd5351,Sư phạm toán học,0
6167041a43f8917a04cd5356,6167041a43f8917a04cd5355,Quản lý tài nguyên và Môi trường,0
6167045343f8917a04cd535a,6167045343f8917a04cd5359,Công nghệ kỹ thuật xây dựng,0
6167048143f8917a04cd535e,6167048143f8917a04cd535d,Công nghệ kỹ thuật xây dựng,0
616704b543f8917a04cd5362,616704b543f8917a04cd5361,Quản trị kinh doanh,0
616704e643f8917a04cd5366,616704e643f8917a04cd5365,Dịch vụ pháp lý,0
6167051d43f8917a04cd536a,6167051d43f8917a04cd5369,Giáo dục tiểu học,0
6167058343f8917a04cd536e,6167058343f8917a04cd536d,Quản trị doanh nghiệp Marketing and sale,0
